"","LandContour","LotConfig","Neighborhood","BldgType","OverallQual","OverallCond","YearBuilt","CentralAir","X1stFlrSF","X2ndFlrSF","TotRmsAbvGrd","Fireplaces","PavedDrive","SalePrice"
"1","Lvl","Inside","Gilbert","1Fam","7","5",2005,"Y",728,728,8,1,"Y",184000
"2","Lvl","Inside","Somerst","TwnhsE","7","5",2004,"Y",1143,0,5,1,"Y",176400
"3","Lvl","Inside","CollgCr","1Fam","6","5",1995,"Y",795,704,6,1,"Y",187000
"4","Lvl","Inside","SawyerW","1Fam","6","5",2005,"Y",1142,0,5,0,"Y",139500
"5","Lvl","Inside","Sawyer","1Fam","5","5",1961,"Y",988,0,5,0,"Y",128500
"6","Bnk","Corner","Edwards","1Fam","6","8",1920,"Y",740,125,4,1,"Y",108500
"7","Lvl","Corner","BrkSide","1Fam","6","7",1947,"Y",1004,660,7,2,"Y",159000
"8","Lvl","Inside","Edwards","TwnhsE","6","5",2005,"Y",1072,0,5,0,"Y",140000
"9","HLS","Corner","Timber","2fmCon","5","6",1965,"Y",1619,167,7,2,"Y",228950
"10","Lvl","Inside","OldTown","1Fam","8","7",1925,"Y",833,833,7,1,"Y",161000
"11","Lvl","Inside","OldTown","1Fam","5","9",1890,"Y",684,396,5,0,"N",95000
"12","Bnk","Corner","Edwards","1Fam","6","6",1977,"Y",698,728,6,0,"Y",159500
"13","Lvl","Inside","NAmes","1Fam","5","5",1956,"Y",1048,0,6,0,"Y",135000
"14","Bnk","Inside","IDOTRR","1Fam","6","6",1937,"Y",780,595,6,1,"P",141000
"15","HLS","Corner","NAmes","1Fam","6","6",1954,"Y",832,0,4,0,"Y",105500
"16","Lvl","Inside","Edwards","1Fam","5","8",1947,"Y",929,208,8,0,"Y",96000
"17","Lvl","Corner","SawyerW","1Fam","7","5",1990,"Y",1442,0,6,1,"Y",179900
"18","Bnk","Inside","Crawfor","1Fam","7","7",1941,"Y",860,704,7,1,"Y",174500
"19","Lvl","Inside","IDOTRR","1Fam","6","8",1926,"Y",919,0,5,0,"P",126000
"20","Lvl","Corner","Sawyer","1Fam","4","4",1976,"Y",1620,0,8,1,"Y",150000
"21","Lvl","Inside","SawyerW","1Fam","4","4",1950,"Y",841,0,4,0,"N",82000
"22","Lvl","Inside","Mitchel","Duplex","6","5",1976,"Y",2048,0,9,0,"Y",170000
"23","Lvl","Inside","NAmes","1Fam","5","5",1959,"Y",1143,0,6,0,"Y",136000
"24","Lvl","Inside","CollgCr","1Fam","7","5",2004,"Y",1445,0,6,0,"Y",186500
"25","Lvl","Inside","NridgHt","1Fam","9","5",2003,"Y",1572,1096,10,2,"Y",412500
"26","Bnk","Inside","Gilbert","1Fam","8","7",1988,"Y",1080,672,8,0,"Y",164000
"27","Lvl","Inside","NWAmes","1Fam","7","5",1978,"Y",1392,1392,12,2,"Y",250000
"28","Lvl","Inside","Gilbert","1Fam","6","5",2002,"Y",1010,1257,8,1,"Y",200000
"29","Lvl","Inside","Crawfor","1Fam","6","6",1960,"Y",1561,0,6,1,"Y",193000
"30","Lvl","CulDSac","CollgCr","1Fam","8","5",2001,"Y",1787,0,7,1,"Y",275000
"31","Lvl","Inside","NoRidge","1Fam","8","5",1992,"Y",1105,1097,9,1,"Y",263000
"32","Lvl","Corner","SawyerW","1Fam","6","5",1995,"Y",1093,1721,9,1,"Y",260000
"33","Lvl","Corner","NoRidge","1Fam","10","5",1996,"Y",2411,2065,10,2,"Y",745000
"34","Lvl","Corner","OldTown","1Fam","5","5",1898,"N",1075,1063,11,0,"N",106000
