LandContour,LotConfig,Neighborhood,BldgType,OverallQual,OverallCond,YearBuilt,CentralAir,X1stFlrSF,X2ndFlrSF,TotRmsAbvGrd,Fireplaces,PavedDrive,SalePrice
Lvl,Inside,Gilbert,1Fam,7,5,2005,Y,728,728,8,1,Y,184000
Lvl,Inside,Somerst,TwnhsE,7,5,2004,Y,1143,0,5,1,Y,176400
Lvl,Inside,CollgCr,1Fam,6,5,1995,Y,795,704,6,1,Y,187000
Lvl,Inside,SawyerW,1Fam,6,5,2005,Y,1142,0,5,0,Y,139500
Lvl,Inside,Sawyer,1Fam,5,5,1961,Y,988,0,5,0,Y,128500
Bnk,Corner,Edwards,1Fam,6,8,1920,Y,740,125,4,1,Y,108500
Lvl,Corner,BrkSide,1Fam,6,7,1947,Y,1004,660,7,2,Y,159000
Lvl,Inside,Edwards,TwnhsE,6,5,2005,Y,1072,0,5,0,Y,140000
HLS,Corner,Timber,2fmCon,5,6,1965,Y,1619,167,7,2,Y,228950
Lvl,Inside,OldTown,1Fam,8,7,1925,Y,833,833,7,1,Y,161000
Lvl,Inside,OldTown,1Fam,5,9,1890,Y,684,396,5,0,N,95000
Bnk,Corner,Edwards,1Fam,6,6,1977,Y,698,728,6,0,Y,159500
Lvl,Inside,NAmes,1Fam,5,5,1956,Y,1048,0,6,0,Y,135000
Bnk,Inside,IDOTRR,1Fam,6,6,1937,Y,780,595,6,1,P,141000
HLS,Corner,NAmes,1Fam,6,6,1954,Y,832,0,4,0,Y,105500
Lvl,Inside,Edwards,1Fam,5,8,1947,Y,929,208,8,0,Y,96000
Lvl,Corner,SawyerW,1Fam,7,5,1990,Y,1442,0,6,1,Y,179900
Bnk,Inside,Crawfor,1Fam,7,7,1941,Y,860,704,7,1,Y,174500
Lvl,Inside,IDOTRR,1Fam,6,8,1926,Y,919,0,5,0,P,126000
Lvl,Corner,Sawyer,1Fam,4,4,1976,Y,1620,0,8,1,Y,150000
Lvl,Inside,SawyerW,1Fam,4,4,1950,Y,841,0,4,0,N,82000
Lvl,Inside,Mitchel,Duplex,6,5,1976,Y,2048,0,9,0,Y,170000
Lvl,Inside,NAmes,1Fam,5,5,1959,Y,1143,0,6,0,Y,136000
Lvl,Inside,CollgCr,1Fam,7,5,2004,Y,1445,0,6,0,Y,186500
Lvl,Inside,NridgHt,1Fam,9,5,2003,Y,1572,1096,10,2,Y,412500
Bnk,Inside,Gilbert,1Fam,8,7,1988,Y,1080,672,8,0,Y,164000
Lvl,Inside,NWAmes,1Fam,7,5,1978,Y,1392,1392,12,2,Y,250000
Lvl,Inside,Gilbert,1Fam,6,5,2002,Y,1010,1257,8,1,Y,200000
Lvl,Inside,Crawfor,1Fam,6,6,1960,Y,1561,0,6,1,Y,193000
Lvl,CulDSac,CollgCr,1Fam,8,5,2001,Y,1787,0,7,1,Y,275000
Lvl,Inside,NoRidge,1Fam,8,5,1992,Y,1105,1097,9,1,Y,263000
Lvl,Corner,SawyerW,1Fam,6,5,1995,Y,1093,1721,9,1,Y,260000
Lvl,Corner,NoRidge,1Fam,10,5,1996,Y,2411,2065,10,2,Y,745000
Lvl,Corner,OldTown,1Fam,5,5,1898,N,1075,1063,11,0,N,106000
HLS,Inside,Crawfor,1Fam,5,6,1940,Y,840,727,6,2,Y,205000
Lvl,FR2,Sawyer,1Fam,5,5,1967,Y,912,0,5,1,Y,125000
Bnk,Inside,NAmes,1Fam,5,6,1945,Y,1048,510,6,1,Y,140000
Lvl,Corner,CollgCr,1Fam,8,5,2002,Y,1091,898,7,1,Y,255000
Lvl,Inside,BrkSide,1Fam,5,7,1939,Y,728,546,6,0,Y,135000
Lvl,Inside,NAmes,1Fam,5,4,1961,Y,1150,0,6,0,Y,146000
Bnk,Inside,OldTown,1Fam,6,7,1920,Y,1088,110,7,0,N,79900
Lvl,Inside,Mitchel,1Fam,5,7,1983,Y,816,0,4,0,Y,128500
Lvl,Inside,NridgHt,TwnhsE,7,5,2003,Y,1405,0,6,1,Y,173000
Lvl,Corner,Crawfor,1Fam,8,9,1925,Y,798,714,7,1,P,231000
Lvl,Inside,MeadowV,Twnhs,4,5,1970,Y,530,462,4,0,Y,106500
Lvl,Inside,OldTown,1Fam,5,6,1939,Y,868,690,7,1,Y,150000
Lvl,Inside,Sawyer,1Fam,4,9,1946,Y,704,0,4,0,Y,88750
Lvl,Corner,Gilbert,1Fam,6,8,1993,Y,680,790,6,1,Y,185000
Lvl,Inside,NWAmes,1Fam,6,7,1967,Y,1271,1369,8,1,Y,256900
Lvl,Inside,Gilbert,1Fam,7,5,2003,Y,807,702,8,1,Y,180000
Lvl,Inside,Sawyer,1Fam,5,5,1968,Y,1159,0,7,1,Y,158000
Lvl,Inside,NAmes,1Fam,5,6,1955,Y,1024,564,6,0,Y,150000
Lvl,Inside,NAmes,1Fam,5,5,1956,Y,1384,0,6,0,Y,159000
Lvl,Inside,StoneBr,TwnhsE,8,5,1988,Y,1179,0,5,0,Y,182000
Lvl,Corner,ClearCr,1Fam,6,5,1988,Y,1164,896,8,1,Y,211000
Lvl,Inside,Blmngtn,TwnhsE,7,5,2006,Y,1145,0,6,0,Y,160000
Lvl,Inside,NWAmes,1Fam,7,6,1976,Y,1098,866,8,1,Y,205000
Lvl,Inside,NAmes,1Fam,5,5,1951,Y,1216,0,7,0,Y,135000
Lvl,Corner,NAmes,1Fam,6,6,1966,Y,1888,0,6,1,Y,190000
Lvl,Inside,CollgCr,TwnhsE,6,5,2003,Y,848,0,4,0,Y,144000
Lvl,Inside,CollgCr,1Fam,7,5,2006,Y,1391,571,7,0,Y,239799
Lvl,Inside,BrkSide,1Fam,6,9,1937,Y,786,390,4,0,N,134900
Lvl,Inside,CollgCr,1Fam,6,5,1995,Y,1200,0,6,0,Y,177500
Lvl,Inside,NWAmes,1Fam,5,6,1973,Y,1178,0,5,1,Y,157000
Bnk,Inside,OldTown,1Fam,5,7,1957,Y,1347,0,6,0,Y,143000
Lvl,Inside,NWAmes,1Fam,6,6,1974,Y,1103,0,6,0,Y,155000
Lvl,Inside,Edwards,1Fam,5,5,2005,Y,734,674,6,0,Y,171500
Lvl,Inside,OldTown,2fmCon,4,6,1910,Y,828,658,9,0,N,118000
Lvl,CulDSac,Crawfor,1Fam,6,6,1968,Y,1488,0,7,2,Y,215000
Lvl,Inside,OldTown,2fmCon,4,6,1900,N,1084,867,9,0,P,111500
HLS,Corner,StoneBr,1Fam,8,5,2005,Y,1168,1332,9,1,Y,355000
Lvl,Inside,OldTown,1Fam,5,5,1922,Y,1254,182,7,1,N,139000
Lvl,Corner,NWAmes,1Fam,7,7,1978,Y,1420,1420,8,2,Y,292500
Lvl,Corner,NoRidge,1Fam,8,5,1998,Y,1165,1098,10,1,Y,258000
Lvl,Inside,NoRidge,1Fam,8,5,1993,Y,1251,1098,9,1,Y,362500
Lvl,Corner,SWISU,1Fam,5,4,1938,Y,832,436,7,2,Y,160000
